gene,drug,phenotype,activity_score,recommendation,classification,guideline_url
CYP2D6,codeine,Normal Metabolizer,,Use label-recommended age- or weight-specific dosing.,A,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,codeine,Intermediate Metabolizer,,Use label-recommended age- or weight-specific dosing.,A,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,codeine,Poor Metabolizer,,Avoid codeine use. Alternative analgesics recommended.,A,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,tramadol,Poor Metabolizer,,Avoid tramadol use due to lack of efficacy.,B,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2C19,clopidogrel,Poor Metabolizer,,Use alternative antiplatelet therapy.,A,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/
CYP2D6,codeine,Ultrarapid Metabolizer,,Avoid codeine use. Risk of fatal respiratory depression.,A,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,tramadol,Normal Metabolizer,,Use label-recommended dosing.,B,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,tramadol,Intermediate Metabolizer,,Use label-recommended dosing.,B,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,tramadol,Ultrarapid Metabolizer,,Avoid tramadol. Risk of respiratory depression.,B,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/
CYP2D6,ondansetron,Ultrarapid Metabolizer,,Select alternative antiemetic not metabolized by CYP2D6.,B,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-cyp2d6/
CYP2D6,ondansetron,Normal Metabolizer,,Use label-recommended dosing.,B,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-cyp2d6/
CYP2D6,ondansetron,Intermediate Metabolizer,,Use label-recommended dosing.,B,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-cyp2d6/
CYP2D6,ondansetron,Poor Metabolizer,,Use label-recommended dosing.,B,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-cyp2d6/
CYP2D6,tamoxifen,Normal Metabolizer,,"Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).",A,https://cpicpgx.org/guidelines/cpic-guideline-for-tamoxifen-based-on-cyp2d6/
CYP2D6,tamoxifen,Intermediate Metabolizer,,"Consider hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women, given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827). If aromatase inhibitor use is contraindicated, consideration should be given to use a higher but FDA approved tamoxifen dose (40 mg/day)(PMID 27226358). Avoid CYP2D6 strong to weak inhibitors.",A,https://cpicpgx.org/guidelines/cpic-guideline-for-tamoxifen-based-on-cyp2d6/
CYP2D6,tamoxifen,Poor Metabolizer,,"Recommend alternative hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827) and based on knowledge that CYP2D6 poor metabolizers switched from tamoxifen to anastrozole do not have an increased risk of recurrence (PMID 23213055). Note, higher dose tamoxifen (40 mg/day) increases but does not normalize endoxifen concentrations and can be considered if there are contraindications to aromatase inhibitor therapy (PMID 27226358, 21768473).",A,https://cpicpgx.org/guidelines/cpic-guideline-for-tamoxifen-based-on-cyp2d6/
CYP2C19,clopidogrel,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/
CYP2C19,clopidogrel,Intermediate Metabolizer,,Consider alternative antiplatelet therapy.,A,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/
CYP2C19,clopidogrel,Rapid Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/
CYP2C19,clopidogrel,Ultrarapid Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/
CYP2C19,voriconazole,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/
